index,name,summary,genre,subgenre,home,audio,title_and_location,date,event_time,venue
0,A5iv3,"They Call me A5iv3(A5) I'm From Saint Paul,MN Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,None,"St. Paul, MN",http://audio.sxsw.com/2019/mp3_by_artist_id/e5d0103bd8da8b9875ae079d6a50e2ea640c713be37b856fc3a76a96d21a693a.mp3,A5iv3 at Buffalo Billiards,"Mar 14, 2019",None,Buffalo Billiards
1,AAerial,"A fictional story of a lone space traveler told through an auditory hallucination of Progressive/Djent/Metal/Rock music.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Other Artists to Tour With, Booking Agent - US, Booking Agent - Worldwide, Producer/Studio Engineer",Metal,Progressive,"Austin, TX",http://audio.sxsw.com/2019/mp3_by_artist_id/a4a099aaded4da19e0e7011a792ccf6bf715d551492b631f74e482d18c717fbd.mp3,AAerial at Dirty Dog Bar,"Mar 16, 2019",7:30pm-8:00pm,Dirty Dog Bar
2,Aaron Cohen,"Based in Queens, NY, Aaron Cohen was quickly embraced by the New York rap scene after finishing high school, and has since released projects via Decon/Mass Appeal Records and Mishka Records. Cohen has toured extensively in the US, Europe and Asia, and has been featured in XXL, Noisey, The Source, Spin, Complex, Hypebeast, and more.  Fresh off the release of his debut full-length project titled ""See Red,"" Aaron just announced his upcoming project ""Red New York"" due in late 2018.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,Hip-Hop,"New York, NY",http://audio.sxsw.com/2019/mp3_by_artist_id/5e94689a9d4d2da4a3ce377af581c5ff1d2db3b6def79e9493d1d8f765886979.mp3,Aaron Cohen at Mohawk Indoor,"Mar 16, 2019",1:35am-1:50am,Mohawk Indoor
3,Abhi The Nomad,"Abhi The Nomad is a producer, rapper and singer who was born in India, brought up in China, and currently lives in Austin, TX.
From indie rock to hip hop, Abhi’s approach to music is heavily influenced by the likes of The Strokes, Arctic Monkeys and Queens of The Stone Age, all the way to Kendrick Lamar, Kanye West and Chance The Rapper. 
This unique blend of genres is audible in his debut album ""Marbled"" which explodes with different styles, colors and flavors. Hailed as Austin's #1 album of the year in 2018 by Austin Chronicle, and covered by various outlets such as Chicago Sun-Times, NPR, Consequence of Sound, Abhi had a trailblazing year after debuting his album, touring the nation and releasing some heavy-hitting singles.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, PR/Publicity Agency, Publishing, Sync/Music Supervisors",Hip-Hop / Rap,Hip-Hop / Rap,"Austin, TX",http://audio.sxsw.com/2019/mp3_by_artist_id/90eeffcfb17498804ee3012cc6f668251b52a8b47e7dcfd1145257a5ec0e998f.mp3,Abhi The Nomad at Nuevo Leon,"Mar 15, 2019",3:00pm-3:40pm,Nuevo Leon
4,Abjects,"Abjects are composed of singer/guitarist Noemi from Spain, bassist Yuki from Japan and drummer Alice from Italy. Three citizens of the world blasting out a range of energetic garage­-punk sounds from London.
Strong believers that personal identities transcend borders and faced by the rise of right ­wing political trends like nationalism, populism, and Brexit, Abjects explore in the tracks of Never Give Up, their debut album, how these changes are reshaping people’s freedoms, testing their emotional resilience and are calling for new ways to cope with the challenges they present on a personal and global scale.
The result is the Never Give Up LP, set for release February 15th, 2019 on Yippee Ki Yay Records and international distribution through Redeye Worldwide and supported by several dates across the US, Japan, UK, Europe and SXSW.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Punk,Garage,"London, UK-ENG",,Abjects at Cheer Up Charlie's Inside,"Mar 16, 2019",12:10am-12:45am,Cheer Up Charlie's Inside
5,Abraham Alexander,"Abraham Alexander is one of the most exciting new names to emerge from Fort Worth, Texas in years. Having built a loyal audience from tirelessly playing the open-mic circuit, he’s already opened for a diverse range of artists - from Patty Griffin to Ginuwine. Abraham is currently preparing to release his debut single, Lovers Game, on March 27th.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Soul,R & B,"Fort Worth, TX",http://audio.sxsw.com/2019/mp3_by_artist_id/99ef5674cf3615f58eb99612c2736b47cc5a360c8eb8fd7edadf3d903149810f.mp3,Abraham Alexander at St David's Historic Sanctuary,"Mar 14, 2019",7:50pm-8:20pm,St David's Historic Sanctuary
6,Ace Tee,"BIST DU DOWN ?
With the release of her song and the video to ""bist du down"", Tarin Wilda alias ACE TEE created a worldwide viral hit and launched a wave of enthusiasm , that has not been there before. After interviews with the press worlds who is who, photo shootings and a spectacular festival season ACE TEE has fineally arrived in the music and fashion world.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Management, Brand Partnership, Gear Endorsement, Other Artists to Tour With, PR/Publicity Agency, Publishing",R & B,Hip-Hop,"Hamburg, GERMANY",,Ace Tee at Seven Grand,"Mar 13, 2019",10:00pm-10:40pm,Seven Grand
7,Acid Tongue,"ACID TONGUE IS AN AMERICAN-BRED GARAGE BAND HEAVILY INFLUENCED BY AM-RADIO SOUL, FOLK AND PSYCHEDELIC ROCK.
The band is composed of Guy Keltner & Ian Cunningham - perverted in their youth by adolescent exposure to mind-altering substances and strange, spiritually-driven parenting techniques.
After years of extensive traveling throughout the United States, as well as some experimental therapy in a Mexican yurt, the boys have united to produce their take on the music of their parents' generation. Incorporating imagery of the afterlife, dream-states and drifter-culture,  Acid Tongue seeks to enlighten listeners to their swingin, contemplative lifestyle.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, PR/Publicity Agency, Publishing, Sync/Music Supervisors",Rock,Soul,"Seattle, WA",,Acid Tongue at Hotel Vegas at Volstead,"Mar 13, 2019",7:45pm-8:15pm,Volstead
8,Adam David,"Throughout the course of his musical career, Adam David has won over the hearts of music lovers from all walks of life. Performing at a variety of venues, making dozens of appearances, all the while recording new singles, Adam David has earned the admiration and affection of countless fans, serving as both inspiration and role model.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Pop,Soul,"Miami, FL",,Adam David at Sheraton BackYARD,"Mar 16, 2019",7:35pm-7:50pm,Sheraton BackYARD
9,Adam Melchor,No description provided for artist.,Singer-Songwriter,Folk,"Los Angeles, CA",http://audio.sxsw.com/2019/mp3_by_artist_id/4cf3d678aa3d7e85f16c7ad127efc179375abc7ae94df0fdec2f600ab9a284d1.mp3,Adam Melchor at Empire Garage,"Mar 11, 2019",8:00pm-8:30pm,Empire Garage
10,Adam Ostrar,"Before the 2016 election, an album like this might be called a “dystopia”; now we call it “did you see what he tweeted?” On Ostrar’s new album, he weaves together disparate voices, like a non-fiction version of Our Town. ""The Worried Coat"" out April 5th on Super Secret Records, was recorded in part in Mexico City courtesy of Richard Davies (The Moles) hand-me-down studio time and the other half at a ranch in the Sonoran Desert of Arizona, Ostrar wrapped and warped his Gretsch Country Gentleman guitar around these groovy nuggets of capitalistic despair, cretinism, gas lighting, nationalism and nativism, false heroism, and that good-time tug-of-war (this game is rigged) called Inherited Wealth vs. Inherited Debt. But he wasn’t alone in making this album, so don’t worry too much about him. He brought along Michael Krassner (Boxhead Ensemble), Wil Hendricks (Califone), and Stephen Patterson (Hamilton Leithauser). 
This is Ostrar’s second solo album, the follow-up to 2017’s Brawls In the Briar. Before that, he led the early 2000 shag-carpet art-punk of Manishevitz, an early Jagjaguwar band that toured with The Mountain Goats and Edith Frost before the Internet tracked these things.  
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Singer-Songwriter,Avant / Experimental,"Austin, TX",http://audio.sxsw.com/2019/mp3_by_artist_id/31739287bb51536379d8736a196e9a54bf99c96eb629c91466e0cba256c3cb0e.mp3,Adam Ostrar at Beerland,"Mar 13, 2019",8:00pm-8:30pm,Beerland
11,Adekunle Gold,"Nigeria-Born Adekunle Kosoko, popularly known by his stage name Adekunle Gold, is an award-winning Urban Highlife singer-songwriter. He released his debut album ‘Gold’ in 2016 and his sophomore album ‘About 30’ in 2018. His hit single ‘Sade’ won him Best Alternative Song at The Headies 2015. He has garnered awards from Nigerian Entertainment Awards (NEAs), Afrima Awards, Beat of Lagos, and many more. Adekunle Gold is an international artist with his sound transcending boarders with a sold out show at the Indigo, O2 Arena in London.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Publishing, Sync/Music Supervisors",World,Afro Pop,"Lagos, NIGERIA",http://audio.sxsw.com/2019/mp3_by_artist_id/17d21e63c0e2f463edae0285591bfb9a48a6bd0c2e14c59b41e581bf87057155.mp3,Adekunle Gold at Palm Door on Sixth Patio,"Mar 15, 2019",12:30am-1:15am,Palm Door on Sixth Patio
12,AdELA,"AdELA is triple-threat. She’s a singer, songwriter, and rapper reaping the benefits of
pursuing her dreams of stardom. The tenacious South African-born, Atlanta-based beauty got her resolve for pursuing the life she wanted from her parents, who left lucrative careers in South Africa in order to escape apartheid in the ‘90s. AdELA’s family first settled in Miami exposing her to all styles of music from Miami Bass, Nas, Tupac, Royce Da 5’9 to Frank Sinatra – artists she describes as “timeless and an inspiration for her own creativity.” AdELA earned her first RIAA Certified Gold credit as a co-writer and performer on Meek Mill’s “Made it From Nothing.” In 2015, AdELA made her official debut with Off the Burner, followed
by her EP Dreamers and Thinkers in 2017, where she decided to feature a well-known rapper on every track. AdELA landed collaborations with Royce Da 5’9, Skyzoo, Torae, Fat Joe, and Kool G Rap just to name a few. Dreamers and Thinkers peaked at number 21 on the iTunes Top 100 in the United States as well as breaking the Top 100 in the UK and France. AdELA’s next mission is breaking into the Top 20 with her latest project entitled, On the Line, set for release in 2019. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership, Gear Endorsement, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, Sync/Music Supervisors",Hip-Hop / Rap,Hip-Hop,"Atlanta, GA",http://audio.sxsw.com/2019/mp3_by_artist_id/32c5d2d89c59bc387562daa411c8cf5cbaf90b6dbd42c535f0f3af7f6606eee3.mp3,AdELA at The Belmont,"Mar 14, 2019",9:40pm-9:50pm,The Belmont
13,Adrian Jean,"Adrian Jean has led a tumultuous life that’s taken him from the poorest neighborhoods in Philadelphia to glamorous nightclubs, to homelessness and redemption. The soulful Los Angeles-based singer-songwriter channels this past into intimate yet infectious pop-meets- R&B sounds. 
Adrian offers a powerful look at his personal history through anthemic and club-ready tracks such as “Tell The World,” alongside thoughtful songs about identity and acceptance like “Story of Blue.” His yearning, yet polished, gospel-influenced vocals and catchy beats sound as if Adele and Sam Smith produced a statuesque black child with a serious story to tell. 
After several successful years singing Top 40 covers and standards across the country, Adrian decided to focus on his own music and developed Caged Bird. Adrian has performed his music as a five piece band as part of a two month residency series at the inaugural US multimedia exhibition The Velvet Underground Experience, which opened in New York City on Oct. 10. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Brand Partnership, Other Artists to Tour With, Producer/Studio Engineer, Sync/Music Supervisors",Pop,R & B,"Los Angeles, CA",http://audio.sxsw.com/2019/mp3_by_artist_id/2428efff229c03abb2e51b681ef6377c357d6463981e54afd3cedfa88b119f8a.mp3,Adrian Jean at Maggie Mae's Rooftop,"Mar 13, 2019",8:00pm-8:40pm,Maggie Mae's Rooftop
14,AEM,"AEM is a new electronic classical pop band comprising of four permanent musicians: Xiao Ying  (keyboard, vocal), LUKA (electronic control, vocal), and Long Fei (BASS, vocal). Band gathers a number of professional musicians, cross-over classical and popular, Academic and the public. It is based on the creation of classical, electronic, rock and other multi-element pioneer music, and performs cross-border cooperation performances in galleries, art exhibitions, and high-end brands. Occasionally, according to the needs of the work, other musicians who include rock, pop, electro-acoustic and classical fields will join in the show.
AEM is known as Art et Métier and is the name of a subway station in Paris, France. It is a Place where Xiao Ying and Luka used to be. AEM's formational plan can be traced back to about four or five years ago, but the formation of the official team was in 2016.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Classical,Electronic,"Beijing, CHINA",http://audio.sxsw.com/2019/mp3_by_artist_id/25b6feb439b266fbcf579abf7bde167fa257e8cb4870e8007957f1b044a071a5.mp3,AEM at Elysium,"Mar 11, 2019",8:00pm-8:40pm,Elysium
15,AfrotroniX,"AfrotroniX merges electronic music with African rhythms and electric Touareg blues. 
The live shows are an original creations mixing an electro DJ , live instruments (drums : Lionel Kizaba), African urban dance performances and digital art .
Discovered at Paris AFROPUNK fest , AfrotroniX  is an original creation by the famous Chadian guitarist Caleb Rimtobaye who worked with international artists like Mbongwana Star, Brian Kennedy ( Rihanna, Chris Brown) and many more...
Caleb Rimtobaye now lives in Montreal and has been touring the world for the past 10 years (Australia, Canada, USA, south Africa, Korea, Switzerland)
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, Sync/Music Supervisors",Electronic,Afro Pop,"Montreal, QC, CANADA",http://audio.sxsw.com/2019/mp3_by_artist_id/98e59fcf90677a32ec29762dc9bfd2c74a1b2b537fbbb22606a9cb3879759260.mp3,AfrotroniX at Russian House,"Mar 13, 2019",10:35pm-11:25pm,Russian House
16,A-Game,"A-Game is an exhilarating underground arist on the rise. He has opened for many legends of our time his opening acts include: J. Cole, Ella Mai, Saweetie, Lil Uzi Vert, Young Thug, Jhene Aiko, Ty Dolla $ign, Kyle, ScarFace, Cam'ron, Angela Simmons, Odisee, Lil Bibby, Jo Jo, Ying Yang Twins, Freeway, Kermit Ruffins, Noreaga, 2 Live Crew and Bushwick Bill.A hard working artist, he will stop at nothing to get to the top. A-Game has had over 350 performances coast to coastProgramming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: PR/Publicity Agency",Hip-Hop / Rap,Hip-Hop,"St Louis, MO",,A-Game at Doris Miller Auditorium,"Mar 14, 2019",9:05pm-9:20pm,Doris Miller Auditorium
17,Agrupación Cariño,"Con una evidente influencia del movimiento romántico
grupero surgido en la década de los 70’s, llega
Agrupación Cariño. Su selección en distintos géneros
arroja a este conjunto al gusto inmediato de todo tipo
de público. El grupo aparece en el 2007 buscando
revolucionar la canción enamorada con melodías tales
como: “La Salida”, “Espero que te acuerdes de mi”,
“Maldita tú”, “Tripulante”, entre otras. Así inició la
aventura de estos diez tripulantes de un barco
comandado por su vocalista y principal compositor,
Marc Monster, el cual navega por géneros musicales
conocidos o por conocerse.
En el 2011 lanzan su primer disco “Sólo Éxitos” de los
cuales sería reconocida “Espero que te acuerdes de
mi” como canción del año en los PREMIOS IMAS. En el
2013 lanzan su segundo álbum “Cansados de triunfar”
del cual se desprende el sencillo “Abismo” y “Tantas
ganas”, esta última con una colaboración de la Original
Banda el Limón. Este álbum fue nominado en los IMAS
2014 en múltiples categorías.
FESTIVALES
• Glastonbury
• Vive Latino
• Vive Grupero
• Cumbre Tajín
• SXSW
• Bahidora
• Interfaz
• Machaca Fest
• MalaVida
• Cerveceros
• Semana de las Juventudes
• Teatro de la Ciudad
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Booking Agent - UK/Europe",Latin Rock,Cumbia,"Mexico City, MEXICO",,Agrupación Cariño at Container Bar,"Mar 13, 2019",3:00pm-3:40pm,Container Bar
18,Aha Gazelle,"William Gazelle Fields Jr. professionally known as Aha Gazelle, is an American rapper from New Orleans, Louisiana. Being raised in one of America’s most vibrant and diverse musical cities Aha learned early that he could excel by bringing his own style to the table. The rapper-producer-singer-songwriter leads by example, showing listeners through his art that you can be successful by being yourself. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,Hip-Hop / Rap,"New Orleans, LA",,Aha Gazelle at The Belmont,"Mar 13, 2019",9:40pm-9:50pm,The Belmont
